Instances: 300, Iterations: 500, KeepBest: 30, KeepWorst: 21, Cross: 21, MutationFactor: 0.25, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 190, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.73
Gen: 200, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1744.78
Gen: 210, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.7
Gen: 220, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.62
Gen: 230, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.77
Gen: 240, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1746.06
Gen: 250, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.09
Gen: 260, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.7
Gen: 270, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1746.63
Gen: 280, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.4
Gen: 290, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.25
Gen: 300, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1744.95
Gen: 310, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.77
Gen: 320, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.25
Gen: 330, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.43
Gen: 340, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.26
Gen: 350, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.75
Gen: 360, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.19
Gen: 370, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.99
Gen: 380, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1744.9
Gen: 390, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1744.86
Gen: 400, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.9
Gen: 410, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1746.58
Gen: 420, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.31
Gen: 430, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.27
Gen: 440, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.56
Gen: 450, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.1
Gen: 460, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.44
Gen: 470, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1745.97
Gen: 480, BestSol: 1827, BestFeasibleSol: 1827, GenAvgValue: 1744.97
