Instances: 100, Iterations: 500, KeepBest: 10, KeepWorst: 7, Cross: 7, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 210, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 220, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 230, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 240, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 250, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 260, BestSol: 1954, BestFeasibleSol: 0, GenAvgValue: 1881.64
Gen: 270, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 280, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 290, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 300, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 310, BestSol: 1973, BestFeasibleSol: 0, GenAvgValue: 1899.31
Gen: 320, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1903.71
Gen: 330, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 340, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 350, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 360, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.41
Gen: 370, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 380, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 390, BestSol: 1981, BestFeasibleSol: 0, GenAvgValue: 1906.75
Gen: 400, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 410, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 420, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 430, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 440, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 450, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 460, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 470, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 480, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Gen: 490, BestSol: 2030, BestFeasibleSol: 0, GenAvgValue: 1952.32
Total best: 0
FirstFeasibleIteration: 0
Time: 0.075305
Input file: instances/_uf250-02.cnf
Gen: 0, BestSol: 1477, BestFeasibleSol: 1477, GenAvgValue: 1182.83
Gen: 10, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 20, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 30, BestSol: 1478, BestFeasibleSol: 1478, GenAvgValue: 1438.46
Gen: 40, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 50, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 60, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 70, BestSol: 1488, BestFeasibleSol: 1488, GenAvgValue: 1447.76
Gen: 80, BestSol: 1526, BestFeasibleSol: 1526, GenAvgValue: 1450.42
Gen: 90, BestSol: 1526, BestFeasibleSol: 1526, GenAvgValue: 1483.1
Gen: 100, BestSol: 1526, BestFeasibleSol: 1526, GenAvgValue: 1483.1
Gen: 110, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1484.03
Gen: 120, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 130, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 140, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 150, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 160, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 170, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 180, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 190, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 200, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 210, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.16
Gen: 220, BestSol: 1527, BestFeasibleSol: 1527, GenAvgValue: 1483.36
Gen: 230, BestSol: 1564, BestFeasibleSol: 1564, GenAvgValue: 1517.77
Gen: 240, BestSol: 1564, BestFeasibleSol: 1564, GenAvgValue: 1517.77
Gen: 250, BestSol: 1564, BestFeasibleSol: 1564, GenAvgValue: 1517.77
Gen: 260, BestSol: 1564, BestFeasibleSol: 1564, GenAvgValue: 1517.77
Gen: 270, BestSol: 1564, BestFeasibleSol: 1564, GenAvgValue: 1517.77
Gen: 280, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1518.57
Gen: 290, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.16
Gen: 300, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 310, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 320, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 330, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 340, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.79
Gen: 350, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 360, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 370, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 380, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 390, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 400, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 410, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 420, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 430, BestSol: 1580, BestFeasibleSol: 1580, GenAvgValue: 1532.65
Gen: 440, BestSol: 1583, BestFeasibleSol: 1583, GenAvgValue: 1535.44
Gen: 450, BestSol: 1615, BestFeasibleSol: 1615, GenAvgValue: 1564.28
Gen: 460, BestSol: 1615, BestFeasibleSol: 1615, GenAvgValue: 1565.2
Gen: 470, BestSol: 1615, BestFeasibleSol: 1615, GenAvgValue: 1565.2
Gen: 480, BestSol: 1615, BestFeasibleSol: 1615, GenAvgValue: 1565.2
Gen: 490, BestSol: 1615, BestFeasibleSol: 1615, GenAvgValue: 1565.13
Total best: 1615
FirstFeasibleIteration: 6
Time: 0.079844
Input file: instances/_uf250-03.cnf
