Instances: 300, Iterations: 800, KeepBest: 30, KeepWorst: 21, Cross: 21, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 700, BestSol: 2095, BestFeasibleSol: 2095, GenAvgValue: 2019.81
Gen: 710, BestSol: 2095, BestFeasibleSol: 2095, GenAvgValue: 2019.81
Gen: 720, BestSol: 2095, BestFeasibleSol: 2095, GenAvgValue: 2019.8
Gen: 730, BestSol: 2095, BestFeasibleSol: 2095, GenAvgValue: 2019.81
Gen: 740, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Gen: 750, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Gen: 760, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Gen: 770, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Gen: 780, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Gen: 790, BestSol: 2128, BestFeasibleSol: 2128, GenAvgValue: 2050.5
Total best: 2128
FirstFeasibleIteration: 1
Time: 0.383501
Input file: instances/_uf250-01.cnf
Gen: 0, BestSol: 1128, BestFeasibleSol: 1128, GenAvgValue: 1252.67
Gen: 10, BestSol: 1237, BestFeasibleSol: 1237, GenAvgValue: 1214.62
Gen: 20, BestSol: 1237, BestFeasibleSol: 1237, GenAvgValue: 1217.03
Gen: 30, BestSol: 1319, BestFeasibleSol: 1319, GenAvgValue: 1269.23
Gen: 40, BestSol: 1323, BestFeasibleSol: 1323, GenAvgValue: 1293.65
Gen: 50, BestSol: 1353, BestFeasibleSol: 1353, GenAvgValue: 1324.91
Gen: 60, BestSol: 1431, BestFeasibleSol: 1431, GenAvgValue: 1367.8
Gen: 70, BestSol: 1440, BestFeasibleSol: 1440, GenAvgValue: 1405.82
Gen: 80, BestSol: 1440, BestFeasibleSol: 1440, GenAvgValue: 1405.82
Gen: 90, BestSol: 1440, BestFeasibleSol: 1440, GenAvgValue: 1405.82
Gen: 100, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1427.08
Gen: 110, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1427.21
Gen: 120, BestSol: 1463, BestFeasibleSol: 1463, GenAvgValue: 1427.05
Gen: 130, BestSol: 1486, BestFeasibleSol: 1486, GenAvgValue: 1448.6
Gen: 140, BestSol: 1486, BestFeasibleSol: 1486, GenAvgValue: 1448.6
Gen: 150, BestSol: 1504, BestFeasibleSol: 1504, GenAvgValue: 1463.78
Gen: 160, BestSol: 1504, BestFeasibleSol: 1504, GenAvgValue: 1465.34
Gen: 170, BestSol: 1504, BestFeasibleSol: 1504, GenAvgValue: 1465.34
Gen: 180, BestSol: 1575, BestFeasibleSol: 1575, GenAvgValue: 1528.36
Gen: 190, BestSol: 1611, BestFeasibleSol: 1611, GenAvgValue: 1535.09
Gen: 200, BestSol: 1694, BestFeasibleSol: 1694, GenAvgValue: 1642.04
Gen: 210, BestSol: 1694, BestFeasibleSol: 1694, GenAvgValue: 1642.04
Gen: 220, BestSol: 1722, BestFeasibleSol: 1722, GenAvgValue: 1668.08
Gen: 230, BestSol: 1722, BestFeasibleSol: 1722, GenAvgValue: 1668.08
Gen: 240, BestSol: 1733, BestFeasibleSol: 1733, GenAvgValue: 1668.12
Gen: 250, BestSol: 1733, BestFeasibleSol: 1733, GenAvgValue: 1678.31
Gen: 260, BestSol: 1744, BestFeasibleSol: 1744, GenAvgValue: 1688.54
Gen: 270, BestSol: 1773, BestFeasibleSol: 1773, GenAvgValue: 1715.41
Gen: 280, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 290, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 300, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 310, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 320, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 330, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 340, BestSol: 1806, BestFeasibleSol: 1806, GenAvgValue: 1746.2
Gen: 350, BestSol: 1840, BestFeasibleSol: 1840, GenAvgValue: 1761.77
Gen: 360, BestSol: 1840, BestFeasibleSol: 1840, GenAvgValue: 1777.82
Gen: 370, BestSol: 1840, BestFeasibleSol: 1840, GenAvgValue: 1777.82
Gen: 380, BestSol: 1840, BestFeasibleSol: 1840, GenAvgValue: 1777.68
Gen: 390, BestSol: 1840, BestFeasibleSol: 1840, GenAvgValue: 1777.82
Gen: 400, BestSol: 1875, BestFeasibleSol: 1875, GenAvgValue: 1810.37
Gen: 410, BestSol: 1875, BestFeasibleSol: 1875, GenAvgValue: 1810.37
Gen: 420, BestSol: 1875, BestFeasibleSol: 1875, GenAvgValue: 1810.37
Gen: 430, BestSol: 1875, BestFeasibleSol: 1875, GenAvgValue: 1810.37
Gen: 440, BestSol: 1875, BestFeasibleSol: 1875, GenAvgValue: 1810.26
Gen: 450, BestSol: 1877, BestFeasibleSol: 1877, GenAvgValue: 1810.55
Gen: 460, BestSol: 1889, BestFeasibleSol: 1889, GenAvgValue: 1823.39
Gen: 470, BestSol: 1889, BestFeasibleSol: 1889, GenAvgValue: 1823.39
Gen: 480, BestSol: 1927, BestFeasibleSol: 1927, GenAvgValue: 1858.73
Gen: 490, BestSol: 1927, BestFeasibleSol: 1927, GenAvgValue: 1858.73
Gen: 500, BestSol: 1927, BestFeasibleSol: 1927, GenAvgValue: 1858.73
Gen: 510, BestSol: 1946, BestFeasibleSol: 1946, GenAvgValue: 1858.79
Gen: 520, BestSol: 1946, BestFeasibleSol: 1946, GenAvgValue: 1876.4
Gen: 530, BestSol: 1949, BestFeasibleSol: 1949, GenAvgValue: 1879.19
Gen: 540, BestSol: 1949, BestFeasibleSol: 1949, GenAvgValue: 1879.04
Gen: 550, BestSol: 1998, BestFeasibleSol: 1998, GenAvgValue: 1924.76
Gen: 560, BestSol: 1998, BestFeasibleSol: 1998, GenAvgValue: 1924.76
Gen: 570, BestSol: 1998, BestFeasibleSol: 1998, GenAvgValue: 1924.75
Gen: 580, BestSol: 1998, BestFeasibleSol: 1998, GenAvgValue: 1924.76
Gen: 590, BestSol: 2011, BestFeasibleSol: 2011, GenAvgValue: 1936.85
Gen: 600, BestSol: 2011, BestFeasibleSol: 2011, GenAvgValue: 1936.85
