0.100000	0.641496
0.150000	0.413394
0.200000	0.305595
0.250000	0.243277
0.300000	0.203499
0.350000	0.189115
0.400000	0.143371
0.450000	0.126914
0.500000	0.112946
0.550000	0.103328
0.600000	0.095747
0.650000	0.086706
0.700000	0.080104
0.750000	0.075903
0.800000	0.068000
0.850000	0.064947
0.900000	0.060421
0.950000	0.0577110.900000	0.000066
0.900000	0.000429
0.900000	0.001791
0.900000	0.004978
0.900000	0.007120
0.900000	0.011379
0.900000	0.015135
0.900000	0.022553
0.900000	0.027285
0.900000	0.038260
0.900000	0.045970
0.900000	0.060132
