#1.0	0.01190334	239.30898316	0.00439261	0.0000000000000
Poměr sum. ceny a kapacity	Prům. čas (s) - větve a hranice	Prům. čas (s) - dyn. prog.	Prům. čas (s) - apx. řešení	Prům. rel. chyba (%) apx. řeš
0.1	0.08130734	088.86550694	0.00560736	0.0106467487237
0.2	0.10718777	135.60014216	0.00528186	0.0066763450760
0.3	0.14815503	166.70762326	0.00553130	0.0048218434613
0.4	0.17307040	195.00413342	0.00553492	0.0042684623370
0.5	0.21187856	211.24500030	0.00518666	0.0036440429471
0.6	0.25188220	242.03431272	0.00547140	0.0017795927046
0.7	0.25666867	236.42254104	0.00518172	0.0013387217662
0.8	0.28263854	233.62307710	0.00491595	0.0009703289543
0.9	0.32600721	253.85122076	0.00487477	0.0005179515209
